No,VoucherType,Quantity,Sales,Date
1,5 Birr,43413,217065,2/6/2022
2,15 Birr,38329,574935,2/6/2022
3,10 Birr,86119,861190,2/6/2022
4,50 Birr,9942,497100,2/6/2022
5,25 Birr,28159,703975,2/6/2022
6,100 Birr,2994,299400,2/6/2022
7,500 Birr,5,2500,2/6/2022
8,1000 Birr,1,1000,2/6/2022
9,250 Birr,5,1250,2/6/2022
10,15 Birr,73475,1102125,2/5/2022
11,25 Birr,54802,1370050,2/5/2022
12,5 Birr,60141,300705,2/5/2022
13,10 Birr,148400,1484000,2/5/2022
14,100 Birr,6550,655000,2/5/2022
15,50 Birr,16209,810450,2/5/2022
16,500 Birr,4,2000,2/5/2022
17,250 Birr,6,1500,2/5/2022
18,1000 Birr,3,3000,2/5/2022
19,15 Birr,53219,798285,2/4/2022
20,10 Birr,124414,1244140,2/4/2022
21,5 Birr,54406,272030,2/4/2022
22,25 Birr,37334,933350,2/4/2022
23,50 Birr,13656,682800,2/4/2022
24,250 Birr,5,1250,2/4/2022
25,100 Birr,4513,451300,2/4/2022
26,500 Birr,3,1500,2/4/2022
27,1000 Birr,4,4000,2/4/2022
28,50 Birr,19038,951900,2/3/2022
29,100 Birr,6272,627200,2/3/2022
30,10 Birr,137473,1374730,2/3/2022
31,15 Birr,60534,908010,2/3/2022
32,25 Birr,45952,1148800,2/3/2022
33,5 Birr,49876,249380,2/3/2022
34,1000 Birr,9,9000,2/3/2022
35,250 Birr,10,2500,2/3/2022
36,500 Birr,5,2500,2/3/2022
37,10 Birr,115461,1154610,2/2/2022
38,25 Birr,40666,1016650,2/2/2022
39,15 Birr,51705,775575,2/2/2022
40,5 Birr,52281,261405,2/2/2022
41,50 Birr,12157,607850,2/2/2022
42,100 Birr,4479,447900,2/2/2022
43,1000 Birr,5,5000,2/2/2022
44,5 Birr,60766,303830,2/1/2022
45,50 Birr,13788,689400,2/1/2022
46,25 Birr,41464,1036600,2/1/2022
47,10 Birr,115263,1152630,2/1/2022
48,15 Birr,53250,798750,2/1/2022
49,100 Birr,5199,519900,2/1/2022
50,1000 Birr,25,25000,2/1/2022
51,500 Birr,19,9500,2/1/2022
52,250 Birr,15,3750,2/1/2022
53,15 Birr,56268,844020,1/31/2022
54,10 Birr,128995,1289950,1/31/2022
55,5 Birr,53938,269690,1/31/2022
56,100 Birr,4993,499300,1/31/2022
57,50 Birr,16362,818100,1/31/2022
58,25 Birr,47749,1193725,1/31/2022
59,500 Birr,8,4000,1/31/2022
60,250 Birr,13,3250,1/31/2022
61,1000 Birr,13,13000,1/31/2022
62,10 Birr,78782,787820,1/30/2022
63,25 Birr,21096,527400,1/30/2022
64,5 Birr,39996,199980,1/30/2022
65,15 Birr,28828,432420,1/30/2022
66,50 Birr,6965,348250,1/30/2022
67,100 Birr,2457,245700,1/30/2022
68,500 Birr,8,4000,1/30/2022
69,250 Birr,5,1250,1/30/2022
70,1000 Birr,2,2000,1/30/2022
71,25 Birr,36172,904300,1/29/2022
72,50 Birr,13913,695650,1/29/2022
73,10 Birr,114354,1143540,1/29/2022
74,5 Birr,53531,267655,1/29/2022
75,15 Birr,53223,798345,1/29/2022
76,100 Birr,3798,379800,1/29/2022
77,500 Birr,6,3000,1/29/2022
78,250 Birr,5,1250,1/29/2022
79,1000 Birr,15,15000,1/29/2022
80,5 Birr,42432,212160,1/28/2022
81,25 Birr,30784,769600,1/28/2022
82,10 Birr,117040,1170400,1/28/2022
83,100 Birr,4810,481000,1/28/2022
84,15 Birr,47744,716160,1/28/2022
85,50 Birr,12531,626550,1/28/2022
86,1000 Birr,3,3000,1/28/2022
87,500 Birr,2,1000,1/28/2022
88,250 Birr,2,500,1/28/2022
89,10 Birr,105072,1050720,1/27/2022
90,15 Birr,46880,703200,1/27/2022
91,25 Birr,34052,851300,1/27/2022
92,5 Birr,47440,237200,1/27/2022
93,50 Birr,14354,717700,1/27/2022
94,100 Birr,4640,464000,1/27/2022
95,500 Birr,3,1500,1/27/2022
96,250 Birr,11,2750,1/27/2022
97,1000 Birr,1,1000,1/27/2022
98,10 Birr,114724,1147240,1/26/2022
99,5 Birr,46214,231070,1/26/2022
100,25 Birr,37650,941250,1/26/2022
101,15 Birr,46376,695640,1/26/2022
102,50 Birr,15610,780500,1/26/2022
103,1000 Birr,3,3000,1/26/2022
104,100 Birr,6125,612500,1/26/2022
105,500 Birr,6,3000,1/26/2022
106,250 Birr,8,2000,1/26/2022
107,10 Birr,108005,1080050,1/25/2022
108,15 Birr,46919,703785,1/25/2022
109,50 Birr,12234,611700,1/25/2022
110,5 Birr,45569,227845,1/25/2022
111,25 Birr,29636,740900,1/25/2022
112,250 Birr,7,1750,1/25/2022
113,100 Birr,4501,450100,1/25/2022
114,500 Birr,8,4000,1/25/2022
115,1000 Birr,5,5000,1/25/2022
116,10 Birr,144360,1443600,1/24/2022
117,100 Birr,4140,414000,1/24/2022
118,50 Birr,14589,729450,1/24/2022
119,15 Birr,71549,1073235,1/24/2022
120,25 Birr,52647,1316175,1/24/2022
121,5 Birr,55844,279220,1/24/2022
122,500 Birr,17,8500,1/24/2022
123,1000 Birr,2,2000,1/24/2022
124,250 Birr,10,2500,1/24/2022
125,10 Birr,76663,766630,1/23/2022
126,5 Birr,26911,134555,1/23/2022
127,15 Birr,36677,550155,1/23/2022
128,25 Birr,21343,533575,1/23/2022
129,100 Birr,1793,179300,1/23/2022
130,50 Birr,6449,322450,1/23/2022
131,500 Birr,4,2000,1/23/2022
132,250 Birr,2,500,1/23/2022
133,1000 Birr,5,5000,1/23/2022
134,25 Birr,39897,997425,1/22/2022
135,15 Birr,48689,730335,1/22/2022
136,5 Birr,49510,247550,1/22/2022
137,250 Birr,6,1500,1/22/2022
138,10 Birr,122014,1220140,1/22/2022
139,100 Birr,4055,405500,1/22/2022
140,50 Birr,13297,664850,1/22/2022
141,500 Birr,9,4500,1/22/2022
142,1000 Birr,2,2000,1/22/2022
143,5 Birr,53957,269785,1/21/2022
144,10 Birr,135234,1352340,1/21/2022
145,100 Birr,4803,480300,1/21/2022
146,50 Birr,16335,816750,1/21/2022
147,250 Birr,2,500,1/21/2022
148,25 Birr,44091,1102275,1/21/2022
149,15 Birr,72382,1085730,1/21/2022
150,1000 Birr,3,3000,1/21/2022
151,500 Birr,2,1000,1/21/2022
152,10 Birr,26759,267590,1/20/2022
153,5 Birr,11143,55715,1/20/2022
154,25 Birr,5107,127675,1/20/2022
155,50 Birr,2622,131100,1/20/2022
