,Date,Quantity
1,2022-02-06,38329.0
9,2022-02-05,55902.0
18,2022-02-04,55007.666666666664
30,2022-02-03,56389.25
38,2022-02-02,55452.4
47,2022-02-01,55085.333333333336
52,2022-01-31,55254.28571428572
64,2022-01-30,51951.0
74,2022-01-29,52092.333333333336
83,2022-01-28,51657.5
89,2022-01-27,51657.5
100,2022-01-26,52512.6
107,2022-01-25,49802.7
118,2022-01-24,49172.7
126,2022-01-23,50274.2
134,2022-01-22,48771.4
148,2022-01-21,48315.3
168,2022-01-18,49926.7
178,2022-01-17,47852.6
184,2022-01-16,51776.4
193,2022-01-15,50927.6
226,2022-01-09,52259.2
237,2022-01-08,53206.7
241,2022-01-07,52929.7
249,2022-01-06,46365.4
257,2022-01-05,56072.4
273,2022-01-04,61638.3
276,2022-01-03,69500.0
288,2022-01-02,81387.2
313,2021-12-28,79445.2
319,2021-12-27,77900.2
329,2021-12-26,82459.3
339,2021-12-25,81888.0
344,2021-12-24,84574.7
356,2021-12-23,90372.0
362,2021-12-22,81637.6
371,2021-12-21,76079.1
382,2021-12-20,66466.3
390,2021-12-19,58484.6
398,2021-12-18,54374.9
407,2021-12-17,56405.7
419,2021-12-16,49914.6
425,2021-12-15,49328.8
435,2021-12-14,46051.8
445,2021-12-13,43867.1
450,2021-12-12,43878.1
461,2021-12-11,41859.3
466,2021-12-10,40441.9
479,2021-12-09,39487.4
489,2021-12-08,40032.1
497,2021-12-07,39319.8
505,2021-12-06,38787.0
513,2021-12-05,39379.1
524,2021-12-04,37469.3
530,2021-12-03,37000.2
537,2021-12-02,35938.7
546,2021-12-01,36359.1
555,2021-11-30,35341.6
563,2021-11-29,35165.8
571,2021-11-28,35801.6
583,2021-11-27,34202.2
589,2021-11-26,34088.8
601,2021-11-25,32782.3
607,2021-11-24,33963.9
620,2021-11-23,34125.6
628,2021-11-22,33522.6
636,2021-11-21,34794.5
644,2021-11-20,34229.9
653,2021-11-19,34187.7
661,2021-11-18,33669.9
674,2021-11-17,34768.7
682,2021-11-16,34441.2
688,2021-11-15,34539.4
700,2021-11-14,35177.6
707,2021-11-13,34352.8
715,2021-11-12,35247.7
726,2021-11-11,34507.3
736,2021-11-10,36200.4
743,2021-11-09,36194.0
751,2021-11-08,36498.8
760,2021-11-07,37996.2
768,2021-11-06,37103.6
780,2021-11-05,38411.7
782,2021-11-04,38725.0
790,2021-11-03,39801.8
798,2021-11-02,40063.6
809,2021-11-01,39974.7
815,2021-10-31,39676.9
822,2021-10-30,38897.6
834,2021-10-29,39158.2
841,2021-10-28,39375.2
850,2021-10-27,41704.5
858,2021-10-26,41062.9
868,2021-10-25,41246.8
875,2021-10-24,42401.2
886,2021-10-23,41489.5
893,2021-10-22,42515.0
904,2021-10-21,42819.6
914,2021-10-20,44094.5
921,2021-10-19,43839.5
